İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ,2024 Hata
ETİMESGUT (MERKEZ),Cezeri Yeşil Teknoloji Mesleki ve Teknik Anadolu Lisesi,9.66,7.74,6.86,4.94 – 7.02,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,1.04
ÇANKAYA (MERKEZ),Ayhan Sümer Anadolu Lisesi,6.88,6.88,6.88,6.88 – 6.88,ANADOLU LİSESİ,Anadolu Lisesi,0.0
KEÇİÖREN (MERKEZ),Aydınlıkevler Anadolu Lisesi,7.31,7.02,7.04,6.75 – 7.37,ANADOLU LİSESİ,Anadolu Lisesi,0.3100000000000014
ALTINDAĞ (MERKEZ),Ankara Lisesi,7.57,7.14,7.14,6.71 – 7.57,ANADOLU LİSESİ,Anadolu Lisesi,0.4299999999999997
ÇANKAYA (MERKEZ),Ayrancı Anadolu Lisesi (Çince),7.18,7.06,7.16,7.04 – 7.48,ANADOLU LİSESİ,Anadolu Lisesi,0.22000000000000153
ÇANKAYA (MERKEZ),Ümitköy Anadolu Lisesi,7.88,7.06,7.23,6.41 – 8.39,ANADOLU LİSESİ,Anadolu Lisesi,0.990000000000002
ETİMESGUT (MERKEZ),Şehit Ömer Halisdemir Anadolu Lisesi,8.24,7.66,7.23,6.65 – 6.95,ANADOLU LİSESİ,Anadolu Lisesi,0.14999999999999947
KAHRAMANKAZAN,Mustafa Hakan Güvençer Fen Lisesi,8.37,8.19,7.61,6.63 – 7.43,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.39999999999999947
SİNCAN (MERKEZ),Fatih Anadolu Lisesi,9.74,8.54,8.47,7.27 – 9.53,ANADOLU LİSESİ,Anadolu Lisesi,1.1300000000000026
YENİMAHALLE (MERKEZ),Şehit Ömer Halisdemir Anadolu İmam Hatip Lisesi,10.87,9.22,8.7,7.05 – 9.31,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,1.1299999999999972
PURSAKLAR,Pursaklar Ayyıldız Anadolu Lisesi,8.63,8.54,8.74,8.65 – 9.23,ANADOLU LİSESİ,Anadolu Lisesi,0.2900000000000027
POLATLI,Polatlı TOBB Fen Lisesi,8.75,8.38,8.77,8.4 – 9.92,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.759999999999998
GÖLBAŞI,Gölbaşı Anadolu Lisesi,8.93,9.2,8.85,7.88 – 9.12,ANADOLU LİSESİ,Anadolu Lisesi,0.6199999999999992
MAMAK (MERKEZ),Yavuz Sultan Selim Anadolu Lisesi,9.07,9.06,8.92,8.65 – 8.91,ANADOLU LİSESİ,Anadolu Lisesi,0.13000000000000078
ÇUBUK,Meliha Hasanali Bostan Çubuk Fen Lisesi,8.85,8.82,8.95,8.92 – 9.24,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,0.15999999999999837
ALTINDAĞ (MERKEZ),Altındağ Gazi Anadolu Lisesi,11.53,10.82,9.65,8.02 – 8.94,ANADOLU LİSESİ,Anadolu Lisesi,0.46000000000000263
YENİMAHALLE (MERKEZ),Şehit Cengiz Polat Anadolu İmam Hatip Lisesi,14.23,11.26,9.94,6.97 – 10.27,FEN VE TEKNOLOJİ PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,1.6499999999999968
ÇANKAYA (MERKEZ),Ankara Türk Telekom Sosyal Bilimler Lisesi,10.78,10.29,10.09,9.6 – 10.18,,Sosyal Bilimler Lisesi,0.2900000000000009
KEÇİÖREN (MERKEZ),Aktepe Şehit Köksal Kaşaltı Anadolu lisesi,12.06,11.33,10.25,8.82 – 9.52,ANADOLU LİSESİ,Anadolu Lisesi,0.3500000000000014
KIZILCAHAMAM,TUSAŞ Şehit Hakan Gülşen Mesleki ve Teknik Anadolu Lisesi,14.52,11.95,10.78,8.21 – 11.01,UÇAK BAKIM ALANI,Anadolu Teknik Programı,1.3999999999999968
SİNCAN (MERKEZ),Erkan - Volkan Yiğit Anadolu İmam Hatip Lisesi,13.97,11.51,11.26,8.8 – 13.22,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,2.209999999999999
ELMADAĞ,Hasanoğlan Atatürk Fen Lisesi,11.14,10.27,11.37,10.5 – 14.44,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,1.9700000000000006
MAMAK (MERKEZ),Çağrıbey Anadolu Lisesi,11.09,12.08,11.45,9.2 – 12.44,ANADOLU LİSESİ,Anadolu Lisesi,1.620000000000001
BEYPAZARI,Hatice-Cemil Ercan Fen Lisesi,12.94,11.69,11.5,10.25 – 12.37,FEN BİLİMLERİ ALANI (FEN LİS.),Fen Lisesi,1.0599999999999987
YENİMAHALLE (MERKEZ),Teknopark Ankara İvedik OSB Mesleki ve Teknik Anadolu Lisesi (Teknik.Elektrik),12.42,11.49,11.62,10.69 – 12.81,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,1.059999999999997
