İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ,2024 Hata
ŞEREFLİKOÇHİSAR,Şereflikoçhisar Anadolu İmam Hatip Lisesi,74.95,64.74,46.49,20.2 – 36.28,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,8.04
AKYURT,Muhammed Hamdi Yazır Anadolu İmam Hatip Lisesi,97.82,0.0,46.57,,FEN VE SOSYAL BİLİMLER PROGRAMI,Hazırlık Sınıfı Bulunan Anadolu İmam Hatip Lisesi,
POLATLI,Polatlı Anadolu İmam Hatip Lisesi,38.28,42.8,47.08,51.12 – 51.6,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,0.23999999999999488
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,47.09,43.67 – 47.59,GRAFİK VE FOTOĞRAF ALANI,Anadolu Teknik Programı,1.9599999999999937
ÇANKAYA (MERKEZ),Balgat Mesleki ve Teknik Anadolu Lisesi,52.48,47.93,48.47,43.92 – 54.1,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,5.089999999999989
GÖLBAŞI,Gölbaşı Mesleki ve Teknik Anadolu Lisesi,52.18,51.13,49.65,47.74 – 48.6,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,0.4300000000000068
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,50.99,51.49 – 55.37,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı,1.9400000000000048
YENİMAHALLE (MERKEZ),Mehmet Rüştü Uzel Mesleki ve Teknik Anadolu Lisesi,62.8,57.42,51.76,45.82 – 46.38,KİMYA TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,0.28000000000001535
KEÇİÖREN (MERKEZ),Şehit Mehmet Karakaşoğlu Mesleki ve Teknik Anadolu Lisesi,52.26,49.93,52.5,50.17 – 59.97,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,4.899999999999999
ALTINDAĞ (MERKEZ),Atatürk Mesleki ve Teknik Anadolu Lisesi,55.43,56.25,54.43,49.97 – 55.25,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı,2.6400000000000077
MAMAK (MERKEZ),Ege Mesleki ve Teknik Anadolu Lisesi,0.0,52.63,54.85,54.07 – 60.07,YENİLENEBİLİR ENERJİ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,
SİNCAN (MERKEZ),Başkent OSB Mesleki ve Teknik Anadolu Lisesi,0.0,51.97,55.52,56.07 – 62.07,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı,
AKYURT,Akyurt Şükrü Acar Anadolu İmam Hatip Lisesi,33.51,87.47,56.28,0 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,85.14999999999998
KEÇİÖREN (MERKEZ),Kalaba Kız Mesleki ve Teknik Anadolu Lisesi,0.0,0.0,57.35,,ÇOCUK GELİŞİMİ VE EĞİTİMİ ALANI (SINAVLI),Anadolu Meslek Programı,
ÇANKAYA (MERKEZ),Borsa İstanbul Mehmet Akif Ersoy Mesleki ve Teknik Anadolu Lisesi,43.19,48.96,60.31,66.08 – 77.24,LABORATUVAR HİZMETLERİ ALANI,Anadolu Teknik Programı,5.579999999999998
ÇANKAYA (MERKEZ),Balgat Mesleki ve Teknik Anadolu Lisesi,52.48,47.93,60.32,55.77 – 89.65,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,16.93999999999999
PURSAKLAR,Pursaklar Kız Mesleki ve Teknik Anadolu Lisesi,0.0,0.0,60.62,,ÇOCUK GELİŞİMİ VE EĞİTİMİ ALANI,Anadolu Teknik Programı,
BEYPAZARI,Beypazarı Fatih Mesleki ve Teknik Anadolu Lisesi,62.62,65.64,61.23,49.39 – 64.25,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI (SINAVLI),Anadolu Meslek Programı,7.43
MAMAK (MERKEZ),Ege Mesleki ve Teknik Anadolu Lisesi,0.0,52.63,61.64,67.65 – 73.65,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,
KEÇİÖREN (MERKEZ),Aydınlıkevler Mesleki ve Teknik Anadolu Lisesi,47.3,49.48,62.4,64.58 – 86.06,MUHASEBE VE FİNANSMAN ALANI,Anadolu Teknik Programı,10.739999999999995
ÇANKAYA (MERKEZ),Türk Telekom Mesleki ve Teknik Anadolu Lisesi,40.68,39.4,63.63,62.35 – 100,RADYO-TELEVİZYON ALANI,Anadolu Teknik Programı,25.510000000000005
BEYPAZARI,Beypazarı Şehit Sefa Tiftik Anadolu İmam Hatip Lisesi,92.87,96.22,63.67,0 – 67.02,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,35.89999999999999
KEÇİÖREN (MERKEZ),Bağlum Şehit Yakup Çapat Anadolu İmam Hatip Lisesi,83.36,84.4,67.31,32.09 – 68.35,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,18.13000000000001
SİNCAN (MERKEZ),Sincan Ahmet Andiçen Mesleki ve Teknik Anadolu Lisesi,0.0,65.35,68.05,67.75 – 73.75,MUHASEBE VE FİNANSMAN ALANI (SINAVLI),Anadolu Meslek Programı,
KAHRAMANKAZAN,Kahramankazan Kız Anadolu İmam Hatip Lisesi,60.79,61.72,68.36,69.29 – 80.71,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,5.710000000000001
ALTINDAĞ (MERKEZ),Altındağ Mesleki ve Teknik Anadolu Lisesi,74.53,69.53,68.97,63.97 – 72.85,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,4.439999999999998
GÖLBAŞI,Mogan Mesleki ve Teknik Anadolu Lisesi,74.86,63.66,69.32,58.12 – 91.84,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı,16.86
ÇANKAYA (MERKEZ),Çankaya Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,99.7,81.34,69.76,51.4 – 64.96,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı,6.77999999999998
GÖLBAŞI,Mogan Mesleki ve Teknik Anadolu Lisesi,74.86,63.66,70.07,58.87 – 94.09,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı,17.61
YENİMAHALLE (MERKEZ),Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,44.19,46.8,71.61,74.22 – 100,HARİTA-TAPU-KADASTRO ALANI,Anadolu Teknik Programı,22.200000000000003
ETİMESGUT (MERKEZ),Bağlıca Şehit Kalender Özdemir Anadolu İmam Hatip Lisesi,61.53,57.33,74.79,70.59 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,21.660000000000004
YENİMAHALLE (MERKEZ),Yenimahalle Zeynep-Salih Alp Mesleki ve Teknik Anadolu Lisesi,48.05,48.55,75.79,76.29 – 100,RADYO-TELEVİZYON ALANI (SINAVLI),Anadolu Meslek Programı,26.74000000000001
MAMAK (MERKEZ),Türközü Oğuzhan Mesleki ve Teknik Anadolu Lisesi,80.89,82.27,76.56,63.76 – 77.94,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,7.089999999999989
GÖLBAŞI,Mehmet Akif Ersoy Anadolu İmam Hatip Lisesi,55.34,59.8,79.68,84.14 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,15.420000000000016
AYAŞ,Abdülhamid Han Anadolu İmam Hatip Lisesi,83.61,71.07,80.02,67.48 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,21.489999999999995
NALLIHAN,Nallıhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi,72.73,90.71,80.8,43.0 – 98.78,TARIM ALANI,Anadolu Teknik Programı,27.889999999999972
YENİMAHALLE (MERKEZ),Çiğdemtepe Şehit Mehmet Coşkun Kılıç Mesleki ve Teknik Anadolu Lisesi,80.45,74.91,83.01,77.47 – 100,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,13.640000000000015
MAMAK (MERKEZ),Battalgazi Mesleki ve Teknik Anadolu Lisesi,77.6,72.45,86.82,81.67 – 100,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,19.519999999999982
MAMAK (MERKEZ),Şehit Nuri Pamir Anadolu İmam Hatip Lisesi,98.96,91.18,87.49,79.71 – 87.89,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,4.089999999999989
NALLIHAN,Nallıhan Fettah Güngör Mesleki ve Teknik Anadolu Lisesi,72.73,90.71,89.09,67.87 – 100,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,19.599999999999966
ELMADAĞ,Elmadağ Anadolu İmam Hatip Lisesi,82.66,94.84,89.21,65.77 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,17.810000000000002
ETİMESGUT (MERKEZ),Eryaman Şehit Okan Koç Anadolu İmam Hatip Lisesi,94.19,80.31,90.34,76.46 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,23.909999999999982
YENİMAHALLE (MERKEZ),Mimar Sinan Mesleki ve Teknik Anadolu Lisesi,44.19,46.8,91.23,93.84 – 100,İNŞAAT TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,41.82000000000001
AKYURT,Muhammed Hamdi Yazır Anadolu İmam Hatip Lisesi,97.82,0.0,91.65,,HAFIZLIK PROJESİ (İlahiyat Odaklı Program),Anadolu İmam Hatip Lisesi,
ALTINDAĞ (MERKEZ),Yıldırım Beyazıt Anadolu İmam Hatip Lisesi,92.95,87.71,91.96,86.72 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,9.490000000000009
GÖLBAŞI,Karaali Mesleki ve Teknik Anadolu Lisesi,0.0,87.04,93.16,96.28 – 100,TARIM ALANI,Anadolu Meslek Programı,
ÇANKAYA (MERKEZ),Nurten Uşan Anadolu İmam Hatip Lisesi,77.43,90.14,93.29,86.88 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,9.559999999999974
MAMAK (MERKEZ),Osman Yüksel Serdengeçti Kız Anadolu İmam Hatip Lisesi,0.0,83.6,93.61,100.62 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,
BEYPAZARI,Şehit Hacı Kazım Ozan Kız Anadolu İmam Hatip Lisesi,96.74,94.94,95.73,93.93 – 99.11,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,2.5900000000000034
HAYMANA,Haymana Anadolu İmam Hatip Lisesi,91.5,97.64,96.21,87.21 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,7.570000000000007
KEÇİÖREN (MERKEZ),Bağlum Şehit Oğuz Kaan Usta Mesleki ve Teknik Anadolu Lisesi,76.8,97.64,97.37,75.99 – 100,BİYOMEDİKAL CİHAZ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,21.109999999999985
NALLIHAN,Nallıhan Şehit Hulki Beydili Mesleki ve Teknik Anadolu Lisesi,89.77,96.75,97.61,92.35 – 100,LABORATUVAR HİZMETLERİ ALANI,Anadolu Teknik Programı,6.11999999999999
YENİMAHALLE (MERKEZ),Batıkent Şevket Evliyagil Mesleki ve Teknik Anadolu Lisesi,0.0,91.28,97.62,100.96 – 100,GAZETECİLİK ALANI,Anadolu Teknik Programı,
KAHRAMANKAZAN,Kahramankazan Fuat Erkmen Anadolu İmam Hatip Lisesi,89.29,89.63,97.68,98.02 – 100,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,7.710000000000008
POLATLI,Polatlı Şehit Can Çalışkan Mesleki ve Teknik Anadolu Lisesi,95.43,95.23,97.7,97.5 – 100,TARIM ALANI,Anadolu Teknik Programı,2.6700000000000017
ALTINDAĞ (MERKEZ),Atatürk Mesleki ve Teknik Anadolu Lisesi,55.43,56.25,98.26,99.08 – 100,GIDA TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,41.19
YENİMAHALLE (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,99.44,43.59,99.22,43.37 – 100,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı,111.47999999999993
ÇANKAYA (MERKEZ),Çankaya Borsa İstanbul Mesleki ve Teknik Anadolu Lisesi,99.7,81.34,99.63,81.27 – 100,KONAKLAMA VE SEYAHAT HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı,36.64999999999997
YENİMAHALLE (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,99.44,43.59,99.71,43.86 – 100,YİYECEK İÇECEK HİZMETLERİ ALANI (SINAVLI),Anadolu Meslek Programı,111.96999999999993
KALECİK,Kalecik Şehit Mehmet Yıldırım Mesleki ve Teknik Anadolu Lisesi,97.73,80.79,99.84,82.9 – 100,TARIM ALANI,Anadolu Teknik Programı,35.989999999999995
